,Date,Latitude,Longitude,Incident ID,Temperature,Max Temperature,Wind Speed,Visibility,Precipitation,Humidity,Conditions,Cloudcover
0,2019-10-17T00:00:00-06:00,31.654722,-106.303333,113.0,66.8,81.6,11.6,9.9,0.0,41.38,Clear,19.1
0,2019-10-17T00:00:00-05:00,29.451389,-95.3025,115.0,62.9,66.8,11.4,9.9,0.0,67.71,Clear,12.2
0,2019-10-17T00:00:00-04:00,35.149165999999994,-80.362222,116.0,54.5,65.9,11.4,9.9,0.0,51.9,Clear,0.0
0,2019-10-17T00:00:00-07:00,36.8125,-121.185833,117.0,60.5,71.5,20.8,9.9,0.0,61.17,Clear,
0,2019-10-17T00:00:00-05:00,44.4225,-87.935833,118.0,43.6,50.0,10.3,9.9,0.0,76.33,Partially cloudy,37.3
0,2019-10-16T00:00:00-07:00,40.335,-119.908056,119.0,52.7,70.2,13.5,9.9,0.0,30.5,Clear,0.6
0,2019-10-15T00:00:00-07:00,40.13,-119.91,120.0,51.1,73.5,12.8,9.9,0.0,31.13,Clear,0.0
0,2019-10-15T00:00:00-04:00,43.626111,-72.304167,121.0,46.3,60.2,6.9,9.9,0.0,61.25,Clear,3.7
0,2019-10-15T00:00:00-04:00,38.227778,-85.664722,122.0,59.8,74.9,13.9,9.7,0.34,67.53,"Rain, Partially cloudy",43.6
0,2019-10-15T00:00:00-06:00,38.942777,-104.57,123.0,45.7,58.4,18.3,9.9,0.0,34.21,Clear,0.0
0,2019-10-14T00:00:00-07:00,33.420556,-112.686111,124.0,74.0,86.1,11.4,9.8,0.0,39.93,Clear,0.0
0,2019-10-14T00:00:00-04:00,31.476667,-82.860556,125.0,76.9,84.3,6.9,9.9,0.0,66.31,Partially cloudy,72.7
0,2019-10-14T00:00:00-05:00,32.718889000000004,-98.891666,126.0,72.1,78.5,,6.5,0.0,53.41,Clear,22.4
0,2019-10-14T00:00:00-04:00,35.271667,-79.25444399999998,127.0,65.7,77.0,5.8,9.2,0.01,74.97,"Rain, Partially cloudy",26.6
0,2019-10-13T00:00:00-07:00,40.556111,-120.839166,128.0,48.3,68.1,12.8,9.9,0.0,45.38,Clear,0.0
0,2019-10-13T00:00:00-05:00,37.6925,-97.543611,129.0,53.7,73.1,8.1,9.9,0.0,53.1,Clear,0.0
0,2019-10-13T00:00:00-05:00,32.986666,-97.619723,130.0,67.8,80.1,15.0,9.9,0.0,38.73,Partially cloudy,52.3
0,2019-10-13T00:00:00-08:00,61.450278,-148.683334,131.0,31.3,41.0,6.9,9.9,0.0,73.51,Clear,0.0
0,2019-10-12T00:00:00-05:00,33.067778000000004,-96.065278,132.0,52.3,68.1,8.0,9.9,0.0,53.87,Clear,0.0
0,2019-10-12T00:00:00-06:00,44.673611,-111.424445,133.0,22.0,51.7,13.9,8.7,0.0,72.2,Clear,16.1
0,2019-10-11T00:00:00-04:00,35.201944,-81.150278,134.0,65.0,81.0,6.9,9.9,0.0,65.02,Clear,0.0
0,2019-10-11T00:00:00-04:00,34.018611,-85.146389,135.0,66.5,78.8,5.2,9.9,0.0,70.26,Clear,9.4
0,2019-10-11T00:00:00-04:00,31.398889,-83.001389,136.0,70.0,84.1,8.6,9.1,0.0,67.8,Clear,2.9
0,2019-10-11T00:00:00-07:00,47.769167,-116.818611,137.0,36.3,53.1,11.4,9.9,0.0,70.27,Clear,0.0
0,2019-10-10T00:00:00-04:00,39.588889,-84.224723,138.0,68.2,81.0,10.3,9.7,0.0,64.12,Clear,7.0
0,2019-10-10T00:00:00-04:00,39.901111,-80.130556,139.0,56.8,74.9,6.9,9.6,0.0,79.91,Clear,0.0
0,2019-10-10T00:00:00-04:00,42.117223,-76.918334,140.0,50.6,69.2,6.9,5.7,0.0,82.9,Clear,21.7
0,2019-10-09T00:00:00-05:00,35.196666,-89.396389,141.0,63.2,80.7,9.2,6.0,0.0,81.1,Clear,0.0
0,2019-10-09T00:00:00-05:00,45.561667,-98.460278,142.0,52.5,60.2,21.9,8.9,0.03,78.67,"Rain, Partially cloudy",50.0
0,2019-10-08T00:00:00-05:00,43.032778,-88.23472199999998,143.0,51.4,66.3,11.4,9.9,0.0,70.73,Clear,0.0
0,2019-10-07T00:00:00-06:00,35.24166599999999,-106.767778,144.0,58.5,71.1,20.7,9.9,0.0,51.73,Clear,4.9
0,2019-10-07T00:00:00-07:00,39.499166,-118.748889,145.0,55.7,78.2,9.2,9.9,0.0,35.22,Clear,24.2
0,2019-10-07T00:00:00-08:00,56.938611,-154.1825,146.0,36.9,39.9,18.7,9.0,0.0,86.52,Overcast,81.1
0,2019-10-07T00:00:00-04:00,26.533611,-81.759167,147.0,79.5,89.9,13.9,9.9,0.02,83.05,"Rain, Partially cloudy",52.7
0,2019-10-07T00:00:00-04:00,32.898610999999995,-80.040555,148.0,71.1,75.8,10.3,7.9,0.03,90.16,"Rain, Overcast",85.2
0,2019-10-06T00:00:00-07:00,32.43,-111.39,149.0,76.5,90.9,11.4,9.9,0.0,29.42,Clear,0.0
0,2019-10-06T00:00:00-05:00,32.4475,-98.682778,150.0,81.3,95.0,,6.8,0.0,47.2,Partially cloudy,48.2
0,2019-10-05T00:00:00-06:00,38.953889,-110.996389,151.0,54.6,71.7,6.9,9.9,0.0,17.27,Clear,0.0
0,2019-10-05T00:00:00-06:00,42.750278,-116.674723,152.0,42.7,58.0,19.7,9.9,0.0,66.23,Clear,2.7
0,2019-10-05T00:00:00-04:00,25.999444,-80.468334,153.0,82.5,88.6,18.9,9.9,0.05,74.55,"Rain, Partially cloudy",25.4
0,2019-10-05T00:00:00-04:00,40.475,-86.063333,154.0,57.3,72.0,12.8,9.7,0.0,74.38,Clear,12.2
0,2019-10-04T00:00:00-05:00,29.937222,-92.319723,155.0,78.4,92.6,12.8,7.6,0.0,83.98,Clear,14.1
0,2019-10-04T00:00:00-04:00,40.176111,-76.726945,156.0,59.8,68.0,16.1,8.3,0.0,68.11,Partially cloudy,43.5
0,2019-10-04T00:00:00-04:00,35.615278,-79.882223,157.0,78.1,91.8,9.2,9.9,0.0,65.53,Clear,21.1
0,2019-10-03T00:00:00-04:00,27.702221999999995,-81.768889,158.0,79.2,91.3,13.9,9.9,0.0,72.19,Partially cloudy,34.6
0,2019-10-03T00:00:00-04:00,42.780278,-84.606111,159.0,56.0,65.0,17.2,6.4,1.29,85.26,"Rain, Overcast",94.8
0,2019-10-02T00:00:00-07:00,33.128334,-117.28,160.0,64.3,71.9,8.1,9.9,0.0,69.85,Clear,0.0
0,2019-10-02T00:00:00-04:00,41.931667,-72.692222,161.0,70.4,83.0,16.1,9.8,0.0,78.27,Partially cloudy,65.6
0,2019-10-01T00:00:00-04:00,33.929723,-78.735555,162.0,77.9,86.0,11.4,9.9,0.0,76.24,Clear,21.1
0,2019-10-01T00:00:00-04:00,41.146111,-80.168056,163.0,75.7,87.2,13.9,8.5,0.0,75.25,Partially cloudy,37.0
0,2019-09-29T00:00:00-04:00,29.024445,-81.344166,164.0,77.4,87.8,13.9,9.9,0.0,81.87,Partially cloudy,48.0
0,2019-09-28T00:00:00-04:00,44.534444,-72.613889,165.0,59.5,69.2,9.2,9.3,0.12,87.71,"Rain, Overcast",81.1
0,2019-09-28T00:00:00-04:00,43.393889,-70.708056,166.0,63.5,78.2,15.0,9.9,0.0,79.64,Clear,1.2
0,2019-09-28T00:00:00-04:00,40.992222,-76.468334,167.0,70.8,83.9,11.4,9.6,0.08,74.5,Rain,10.9
0,2019-09-27T00:00:00-07:00,37.62583400000001,-120.954444,168.0,69.1,80.0,12.8,9.9,0.0,65.33,Clear,11.5
0,2019-09-27T00:00:00-07:00,39.094722,-122.097777,169.0,66.9,74.9,17.2,9.9,0.0,70.2,Partially cloudy,25.2
0,2019-09-27T00:00:00-07:00,33.460833,-111.728334,170.0,77.5,83.9,9.2,9.9,0.0,60.68,Clear,22.3
0,2019-09-27T00:00:00-05:00,31.479445,-92.461111,171.0,77.6,90.4,11.4,8.3,0.0,74.2,Clear,12.8
0,2019-09-27T00:00:00-05:00,33.498055,-88.41888900000002,172.0,82.4,95.0,10.3,9.9,0.0,64.9,Clear,15.3
0,2019-09-26T00:00:00-06:00,35.905556,-105.558889,173.0,63.8,81.3,20.1,9.9,0.0,36.29,Clear,9.3
0,2019-09-26T00:00:00-06:00,42.815278,-108.728611,174.0,61.7,80.0,24.2,9.9,0.0,38.25,Clear,0.0
0,2019-09-25T00:00:00-04:00,29.959167,-81.339722,175.0,81.0,91.5,20.8,9.8,0.0,62.67,Clear,5.7
0,2019-09-25T00:00:00-05:00,33.663611,-101.820556,176.0,80.2,91.1,13.9,9.9,0.0,57.67,Partially cloudy,46.3
0,2019-09-25T00:00:00-04:00,40.412222,-86.936944,177.0,68.0,77.1,11.4,9.9,0.0,70.02,Partially cloudy,39.2
0,2019-09-25T00:00:00-05:00,40.786389,-99.778334,178.0,60.8,75.2,14.7,9.7,0.0,64.76,Clear,10.9
0,2019-09-25T00:00:00-08:00,60.978889,-151.892222,179.0,48.8,52.1,38.0,,0.0,,Clear,0.0
0,2019-09-24T00:00:00-04:00,34.601111,-78.578889,180.0,76.0,88.4,10.3,9.9,0.0,68.8,Partially cloudy,27.2
0,2019-09-24T00:00:00-04:00,29.959167,-81.339722,181.0,79.8,91.5,11.4,9.4,0.0,,Clear,0.0
0,2019-09-24T00:00:00-04:00,40.528889,-74.59,182.0,66.1,76.9,15.0,9.9,0.0,69.58,Clear,22.3
0,2019-09-23T00:00:00-04:00,28.000278,-82.163333,183.0,77.5,87.9,13.9,9.9,0.0,76.48,Partially cloudy,39.8
0,2019-09-23T00:00:00-06:00,40.039444,-105.22611100000002,184.0,62.4,77.1,5.8,9.9,0.0,36.86,Clear,0.0
0,2019-09-23T00:00:00-05:00,37.564722,-97.174723,186.0,70.5,83.3,11.4,9.1,0.0,64.87,Clear,2.1
0,2019-09-23T00:00:00-05:00,35.7875,-94.355,187.0,74.8,84.8,10.3,9.2,0.06,83.67,"Rain, Partially cloudy",39.6
0,2019-09-22T00:00:00-08:00,61.934722,-163.664167,188.0,43.0,47.9,14.7,9.5,0.08,90.61,"Rain, Overcast",88.8
0,2019-09-22T00:00:00-08:00,61.31416700000001,-151.224445,189.0,45.8,53.4,8.8,9.9,0.0,75.49,Partially cloudy,32.3
0,2019-09-21T00:00:00-05:00,30.344722,-95.405278,190.0,80.1,90.0,12.8,9.2,0.0,82.25,Partially cloudy,31.4
0,2019-09-20T00:00:00-04:00,41.143333,-85.152778,191.0,71.6,85.3,4.7,8.3,0.0,76.23,Partially cloudy,25.1
0,2019-09-20T00:00:00-08:00,66.884722,-162.59805500000004,192.0,40.1,43.1,9.2,9.9,0.02,78.55,Rain,22.5
0,2019-09-20T00:00:00-07:00,34.848611,-111.788333,193.0,70.9,80.6,17.2,9.9,0.0,22.34,Clear,0.0
0,2019-09-20T00:00:00-04:00,42.696944,-71.548889,194.0,59.9,80.1,8.1,9.9,0.0,70.86,Clear,4.2
0,2019-09-19T00:00:00-07:00,39.781111,-119.470556,195.0,47.5,55.5,15.6,9.9,0.01,68.81,"Rain, Partially cloudy",58.1
0,2019-09-19T00:00:00-07:00,33.803333,-118.339722,196.0,70.4,76.9,18.2,9.9,0.0,70.08,Partially cloudy,33.3
0,2019-09-18T00:00:00-05:00,33.2075,-97.197777,197.0,81.2,92.0,11.4,9.9,0.0,68.02,Clear,12.5
0,2019-09-18T00:00:00-04:00,39.932778000000006,-83.46194399999997,198.0,68.4,82.3,13.9,9.8,0.0,61.23,Clear,0.0
0,2019-09-17T00:00:00-04:00,26.15,-81.778611,199.0,85.9,91.9,17.2,9.9,0.0,71.52,Clear,2.8
0,2019-09-17T00:00:00-08:00,61.35527800000001,-148.409444,200.0,52.8,60.2,15.0,9.9,0.08,75.99,"Rain, Overcast",84.8
0,2019-09-17T00:00:00-04:00,39.083889,-76.762222,201.0,69.8,78.9,12.8,9.9,0.0,74.49,Partially cloudy,30.1
0,2019-09-17T00:00:00-04:00,33.028056,-81.787777,202.0,81.4,97.1,6.5,9.5,0.05,64.56,Rain,18.2
0,2019-09-16T00:00:00-05:00,36.266667,-95.783611,203.0,82.7,92.0,9.2,9.8,0.0,70.11,Partially cloudy,42.6
