,Make,count
700,l goldner,1
701,john d. williams,1
702,"six chuter, inc",1
703,alliant,1
704,dgflugzeugbau,1
705,burkhart-grob,1
706,"sherman john, h",1
707,x-air llc,1
708,elan,1
709,phoenix air,1
710,air command,1
711,laird,1
712,topdog ultralights,1
713,cobb international,1
714,dg flugzeugbau,1
715,eclipse aviation corporation,1
716,m-squared,1
717,sportflight international llc,1
718,adventura,1
719,head balloons inc.,1
720,canadian light acft sales &svc,1
721,sikorsky aircraft corporation,1
722,mccullough,1
723,t bird,1
724,ag-cat corporation,1
725,rawdon bros. aircraft,1
726,interplane llc,1
727,bellanca citabria,1
728,airindus,1
729,belcher william b ii,1
730,holley carol l,1
731,rajhamsa,1
732,gt ultralights,1
733,schempp-hirth k.g.,1
734,"aviat aircraft, inc.",1
735,rainbow aircraft pty ltd,1
736,s.a. centrair,1
737,thompson david,1
738,tomlinson tracy l,1
739,charland,1
740,c a tecnam srl,1
741,"aerostar, s.a",1
742,mx aircraft llc,1
743,airplane factory,1
744,tiger aircraft llc,1
745,infinity power parachutes,1
746,akro tech aviation inc. giles,1
747,quinn aviation inc.,1
748,sino-swearingen,1
749,general motors,1
750,cub crafters inc.,1
751,davis,1
752,fleetwood jack,1
753,schweizer 300cbi,1
754,broussard,1
755,team inc,1
756,thomas lee,1
757,scoda aeronautical,1
758,arrow aircraft co.,1
759,rans inc,1
760,zlin aviation s.r.o.,1
761,scottish,1
762,cartercopter llc,1
763,aircraft mfg & dev. co.,1
764,north american rockwell corp.,1
765,chicco,1
766,fetterman lanny r,1
767,christen industries inc.,1
768,"van's aircraft, inc.",1
769,dova aircraft sro,1
770,moses tim c,1
771,walker,1
772,aerofab,1
773,higgins john h/williams john d,1
774,firefly balloons inc,1
775,destiny powered parachutes llc,1
776,fairchild merlin,1
777,barger jerry l,1
778,elan/glaser dirks,1
779,jones peter m,1
780,thunderbird aviation,1
781,seymour,1
782,north american rockwell,1
783,leonardo,1
784,grahn j/grahn g,1
785,iar brasov,1
786,trinidad,1
787,piaggio aero industries s.p.a.,1
788,norman,1
789,biuro projektowe b bogumil ber,1
790,kessinger roger l,1
791,allstar pzl glider,1
792,pzl warzawa-cnpsl,1
793,meyers industries inc,1
794,storch aviation australia pty,1
795,seguin,1
796,scaled composites,1
797,nasa ames research center,1
798,flightstar sportplanes,1
799,lite flight,1
800,mielec,1
801,soko,1
802,ploof progressive aerodyne's,1
803,air trikes,1
804,schleicher alexander gmbh,1
805,agustawestland philadelphia,1
806,polaris motors,1
807,kerns kenneth h,1
808,reims,1
809,summit,1
810,edra aeronautica,1
811,aston kinsey,1
812,six chuter west llc,1
813,valldejuli john a,1
814,costruzioni aeronautichetecnam,1
815,bristol,1
816,columbia aircraft mfg.,1
817,apollo north america inc,1
818,grenier,1
819,heliotech,1
820,erickson,1
821,smithwick/treidel,1
822,"vans aircraft, inc.",1
823,innovator technologies,1
824,avian,1
825,golden circle air inc,1
826,aero vodochody aero works,1
827,magnaghi aeronautica spa,1
828,citabria,1
829,jdt mini-max llc,1
830,pollack,1
831,fogg,1
832,moyes,1
833,fields mike,1
834,westland helicopters,1
835,bell-watson,1
836,bailey-moyes microlights,1
837,avions mudry cie,1
838,goiden circle,1
839,consolidated aeronautics inc,1
840,balloon works inc,1
841,universal moulded pdts.,1
842,stol aircraft corp,1
843,raven industries inc,1
844,arado-flugzeugwerke gmbh,1
845,"boeing company, long beach div",1
846,butler aircraft company,1
847,taylorcraft corp,1
848,cosentino garey a,1
849,infinity power parachutes llc,1
850,skygear,1
851,ferguson william c,1
852,calstar 1,1
853,maxair drifter,1
854,shirley carl,1
855,quicksilver eipper acft inc,1
856,md helicopter inc.,1
857,stemme,1
858,"swift museum foundation, inc.",1
859,aerolite,1
860,wsk-pzl warzawaokecie,1
861,edwards douglas l,1
862,antonovich anton b,1
863,la moutte,1
864,phantom aircraft co,1
865,barrows,1
866,avian balloon,1
867,zivko aeronautics inc.,1
868,strategie ballloon co.,1
869,wsk pzl swidnik,1
870,helo werks,1
871,oliver lawrence r,1
872,polaris,1
873,"ekornaas, fred",1
874,brm aero sro,1
875,let np kinovice,1
876,general balloon corp.,1
877,hamilton,1
878,quicksilver aircraft,1
879,"aerofab, inc.",1
880,aerotrek,1
881,hillard charlie r,1
882,eipper formance inc,1
883,schumacher,1
884,hph ltd,1
885,weatherly aviation company inc,1
886,symphony aircraft ind inc,1
887,cesna,1
888,schempp-hirth flugzeugbau gmbh,1
889,barche,1
890,gulfstream aerospace corp,1
891,beller,1
892,buckeye powered parachutes inc,1
893,hoffmann,1
894,durfee fred,1
895,dratbe shmiel amir,1
896,dusenberry mark j,1
897,grimes barry r,1
898,schleicher alexander,1
899,avions robin,1
900,fisher michael h,1
901,halladay roy,1
902,"wingtip to wingtip, llc",1
903,aero works,1
904,kolb aircraft co,1
905,"newgent, barry",1
906,avions max holste,1
907,dean leslie n,1
908,czech sport,1
909,keuthan,1
910,antares - balaban,1
911,malechek,1
912,bombardier canadair,1
913,noorduyn aviation,1
914,quicksilver mfg,1
915,d-fly,1
916,tetrault ronad,1
917,pacific aerospace ltd,1
918,pzl swidnik,1
919,cavalier aircraft corp.,1
920,phillips william l,1
921,six chuter inc,1
922,bushmaster aircraft,1
923,aero adventure,1
924,excel jet,1
925,commander aircraft co,1
926,spartan,1
927,volaircraft,1
928,colonial,1
929,arctic aircraft co inc,1
930,clark,1
931,gippsaero pty ltd,1
932,a. schleicher gmbh & co.,1
933,david s meek,1
934,williams yakovlev,1
935,europro cz,1
936,dg-flugzeugbau gmbh,1
937,aerofab inc,1
938,erick magno & assoc pa,1
939,quicksilver manufacturing,1
940,new kolb aircraft co,1
941,unknown,1
942,itec inc,1
943,rogerson hiller corp.,1
944,snobird,1
945,sabreliner corp.,1
946,siemer james h,1
947,czech sport aircraft,1
948,rearwin,1
949,riley,1
950,airgyro aviation llc,1
951,lyons robert,1
952,central ohio dragonfly clubllc,1
953,tamarack helicopters inc,1
954,aviate,1
955,meuer gary d,1
956,jetstream,1
957,ratheon aircraft company,1
958,dova aircraft,1
959,indus aviation inc.,1
960,lantz,1
961,wsk-mielec,1
962,longren,1
963,boeing-stearman,1
964,lange flugzeugbau gmbh,1
965,slip stream,1
966,commander aircraft,1
967,powerchute,1
968,gefa-flug gmbh,1
969,bedecorp llc,1
970,clarke,1
971,rgj aviation llc,1
972,foxair llc,1
973,therrien roger,1
974,ica brasov,1
975,wsk-pzl meilec,1
976,iai,1
977,shaffer william c,1
978,"bombardier aerospace, inc.",1
979,tomei,1
980,gadbois,1
981,texas helicopter corporation,1
982,indy aircraft ltd,1
983,excalibur aircraft,1
984,taylor,1
985,farthing james w ii,1
986,main air,1
987,luscombe silvaire aircraft co.,1
988,bryant frederick m,1
989,avid aircraft,1
990,lee kolb,1
991,strong,1
992,arrow falcon exporters inc.,1
993,national ballooning ltd,1
994,bucker jungmeister,1
995,ca tecnam srl,1
996,aermacchi,1
997,cub crafter,1
998,trikes,1
999,fairchild funk,1
1000,medway,1
1001,treidel mark/r f d,1
1002,better burn llc/startube div,1
1003,morrison,1
1004,lawson j/bowie r/smith m,1
1005,mk ii,1
1006,jonker sailplanes cc,1
1007,"chevrier, armand",1
1008,eads socata,1
1009,hiller-tri-plex ind.inc.,1
1010,johnny f anderson,1
1011,holmes william e,1
1012,bice,1
1013,dart,1
1014,andrews,1
1015,piaggio aero industries spa,1
1016,lester robert e,1
1017,"nichols rans, inc.",1
1018,cubcrafter,1
1019,lammers sjef j,1
1020,schewizer,1
1021,mikoyan,1
1022,airborne windsports ltd,1
1023,seattle aerotech,1
1024,rainbow aircraft (pty) ltd,1
1025,wsk pzl warzawa-okecie,1
1026,focke-wulf,1
1027,aero tek inc.,1
1028,british aircraft corp,1
1029,wicks air center llc,1
1030,sport flight,1
1031,six-chuter,1
1032,halsted,1
1033,yakovlev/day,1
1034,quartz mountain aerospace inc,1
1035,quasar acft co llc,1
1036,aurora,1
1037,antares us,1
1038,appleby,1
1039,extra flugzeugrau gmbh,1
1040,eads pzl warsza,1
1041,shell john,1
1042,allied ag cat productions,1
1043,consolidated aeronautics,1
1044,top dog,1
1045,loehle aircraft corp,1
1046,sport flight international,1
1047,aircoupe,1
1048,iv inc.,1
1049,handy james l,1
1050,collard,1
1051,engle david,1
1052,american blimp corporation,1
1053,ultralite sro,1
1054,airborn wind sports,1
1055,aveko sro,1
1056,augusta,1
1057,worldwide aeros,1
1058,1200,1
1059,luy wayman,1
1060,moore byron j,1
1061,buhl,1
1062,worner,1
1063,schweizer(hughes)aircraft corp,1
1064,santana,1
1065,hogan,1
1066,bell shelby aero,1
1067,p&m aviation,1
1068,lithuanian factory of aviation,1
1069,aerosport ltd,1
1070,fuji,1
1071,schempp-hirth flugzeugbau,1
1072,atr,1
1073,hummel / finberg,1
1074,douglas/basler,1
1075,sud aviation/eurocopter,1
1076,sabreliner,1
1077,clem william b iii,1
1078,s c aerostar s .a.,1
1079,paul,1
1080,extra flugzeugproduktions-gmbh,1
1081,kenneth m franz,1
1082,powerchute llc,1
1083,letecky zavody,1
1084,american champion aircraft cor,1
1085,british aircraft corp.,1
1086,nakajima,1
1087,rotary air force marketing,1
1088,sc iar sa brasov,1
1089,louis amato,1
1090,alisport srl,1
1091,mcclish,1
1092,quad city ultralights,1
1093,emory b. wood,1
1094,stampe et renard,1
1095,thunder & colt airborne amer,1
1096,mason robert,1
1097,rans designs inc,1
1098,eclipse aviation,1
1099,ams-flight d.o.o.,1
1100,stys,1
1101,air borne windsports pty. ltd.,1
1102,szd,1
1103,ferguson aircraft,1
1104,kociemba robert h,1
1105,javron,1
1106,north wing design,1
1107,schempp hirth flugzeugbau gmbh,1
1108,arbc inc dba lindstrand,1
1109,corvus,1
1110,william p. crowell,1
1111,bayliss milton a iii,1
1112,univar,1
1113,gates learjet corporation,1
1114,apex aircraft,1
1115,indus,1
1116,airtime,1
1117,siler ronald e,1
1118,flight design usa,1
1119,bell-tellijohn,1
1120,halley kft,1
1121,national ballooning,1
1122,antonov,1
1123,bardouche,1
1124,apco,1
1125,ayres corp,1
1126,stetson norman b,1
1127,noorduyn,1
1128,cosmos phase ii,1
1129,sonex,1
1130,golden circle,1
1131,breezer aircraft,1
1132,scan,1
1133,flightworks corp,1
1134,beriev aircraft company,1
1135,hiller-rogerson helicopter,1
1136,piasecki/pike,1
1137,airplane factory (pty) ltd,1
1138,"liberty aerospace, inc.",1
1139,rose-rhinehart,1
1140,trella,1
1141,bailey robert,1
1142,bellanca aircraft corporation,1
1143,san joaquin helicopters,1
1144,mischanko,1
1145,auster,1
1146,fly hard trike inc,1
1147,kelm david,1
1148,great lakes aircraft company,1
1149,zs delta-bielsko wroclaw,1
1150,skykits corporation,1
1151,bush caddy usa,1
1152,marsh aviation,1
1153,loehle,1
1154,glenn h curtiss museum,1
1155,"wrb associates, llc.",1
1156,freeman heritage collection,1
1157,aircraft industries a.s.,1
1158,saab-scania,1
1159,indus aviation,1
1160,southern powered parachute,1
1161,quartz mountain aerospace,1
1162,airmax construcoes aeronautica,1
1163,croman,1
1164,sabrena,1
1165,westland,1
1166,meuer mark,1
1167,mchargue,1
1168,balony kubicek spol sro,1
1169,found aircraft canada,1
1170,facebook uk ltd,1
1171,s.z.d.,1
1172,s.n.i.a.s,1
1173,rotorcraft developement corp.,1
1174,nord (sncan),1
1175,doktor fiberglas,1
1176,dromader,1
1177,sea & sky inc dba krucker acft,1
1178,bradshaw,1
1179,"air tractor, inc.",1
