,Plane
0,wsk pzl mielec m 18a
0,swearingen sa226tc
0,diamond da 42 ng
0,fleet fleet 16b
0,raytheon cobra
0,beechcraft be23
0,bellanca 14-19-3
0,maule m4
0,sikorsky s-58et
0,airborne windsports pty ltd edge xt-912-l
0,curtiss wright travel air
0,stearman aircraft c3-b
0,silvaire luscombe 8f
0,bell 206 l-1
0,pacific aerospace corp ltd 750xl
0,cessna 150b
0,piper 601p
0,piper pa 34-200t
0,fpna llc a-22 valor
0,cessna 310h
0,lancair company lc41-550fg
0,interavia e-3
0,schempp-hirth ventus 2ct
0,taylorcraft dc-65
0,cessna 172 - s
0,embraer emb145
0,pzl-swidnik pw-5
0,aero vodochody aero. works l-39c
0,champion 8kcab
0,de havilland beaver dhc-2 mk.1
0,robinson r44 - ii
0,boeing b75
0,schempp-hirth ventus-2c
0,ryan navion b
0,stemme gmbh & co s10-vt
0,"bombardier, inc. cl-600-2c10"
0,fairchild m-62a-3
0,champion 7hc
0,piper pa 22-135
0,bell helicopter textron canada 429
0,aircraft mfg & dev. co. (amd) ch2000
0,bell 206-l1
0,airbus as 350 b3
0,mitsubishi mu-2b-35
0,gulfstream american corp aa-5a
0,silvaire luscombe 8e
0,ayres corporation s2r-g10
0,raytheon b300
0,piper j3f-65
0,aeronca o-58b
0,maule mxt-7-180
0,american champion (acac) 7gcbc
0,eurocopter france as350b3
0,beechcraft 300
0,boeing a75l300
0,diamond da 40 ng
0,piper pa 31t
0,christen industries inc a 1
0,air tractor inc. at-502
0,dehavilland beaver dhc-2
0,boeing e75n1
0,gates learjet 25b
0,american aviation aa1
0,cessna t210f
0,enstrom f28a
0,piper pa46r
0,navion g
0,american champion (acac) 7gcaa
0,north american at-6a
0,cub crafters inc cc19
0,texas helicopter corp oh-13h/m74a
0,piper pa 32rt-300t
0,glasflugel standard libelle
0,schempp hirth discus cs
0,boeing 737-823
0,cessna 180e
0,de havilland dhc 2
0,arctic aircraft corp. s-1b2
0,air tractor 301
0,quest aircraft company llc kodiak 100
0,blanik l-13
0,rockwell 690
0,piper pa18s
0,eurocopter deutschland gmbh mbb-bk 117 c-2
0,north american t28
0,zenair ltd ch 2000
0,christen industries pitts s-2b
0,aerospatiale as350b2
0,eurocopter france as350 b2
0,bell 206-l3
0,aeronca 65-tac
0,aerostar international rx8
0,air tractor inc at 402
0,gates lear jet 35
0,mcdonnell douglas dc-9-83
0,schempp-hirth ventus b/16.6
0,nanchang cj6
0,north american snj-4
0,beechcraft 95 c55
0,burkhart grob flugzeugbau g102 club astir iiib
0,mcdonnell douglas md88
0,piper pa 22-108
0,robinson r-22a
0,christen industries inc pitts s-2b
0,interstate s-1a
0,beechcraft d18s
0,agusta spa a109e
0,navion navion b
0,diamond da-20-c1
0,piper pa18 - 150
0,fairchild sa227
0,convair div. of gen. dynamics 440
0,pdps pzl-bielsko szd-55-1
0,air tractor inc at-400
0,beechcraft 35c33
0,cessna 305f
0,aircraft mfg & dev. co. (amd) ch-2000
0,mcdonnell douglas dc 9 83(md-83)
0,boeing a-75
0,maule mx-7-180b
0,sikorsky s-58jt
0,piper pa28-161
0,piper pa23-250
0,agusta a109a ii
0,swearingen sa226
0,piper pa-24-400
0,maule m 6-235
0,downer bellanca 14-19-2
0,lancair company lc42-550fg
0,columbia aircraft mfg lc42-550fg
0,robinson r-44-ii
0,beechcraft 65-a90-1
0,schempp-hirth nimbus-3dm
0,cessna 172 sp
0,rockwell 112tc
0,pipistrel virus 912
0,bell helicopter textron 206l 1
0,piper pa 23-150
0,cessna a150l
0,north american f-51d
0,grumman c-1a
0,skykits usa corp savannah adv
0,ercoupe (eng & research corp.) 415d
0,aeropro cz eurofox
0,arrow falcon exporters inc oh-58a+
0,douglas c 118a
0,boeing 767 332
0,remos aircraft gmbh remos g-3/600
0,robinson r22 alpha
0,airborne windsport edge xt-912-l
0,boeing 737-924er
0,bird ck
