,Make,Model
13949,CESSNA,172S
13950,BEECH,A36
13951,HILLER,UH12E
13952,ROCKWELL INTERNATIONAL,S-2R
13953,PIPER,PA-36-285
13955,NAVION,NAVION B
13956,CESSNA,182F
13957,BEECH,C24R
13958,BEECH,B36TC
13959,ENSTROM,F-28C-2
13960,PIPER,PA-18-150
13963,ULTRALIGHT AMERICA,SPITFIRE II
13964,BELL,206B
13965,CESSNA,320F
13966,AIR TRACTOR INC,AT-502
13967,BELL,212
13968,SCHWEIZER AIRCRAFT CORP,G-164B
13969,AIR TRACTOR INC,AT-301
13971,CESSNA,402
13972,LUSCOMBE,8F
13973,BELLANCA,8GCBC
13977,HILLER,UH-12E
13981,CESSNA,172M
13983,CIRRUS DESIGN CORP,SR22
13984,CESSNA,172N
13985,CESSNA,182H
13986,"Six Chuter, Inc",Skye Ryder Aerochute
13987,CESSNA,172P
13988,AEROVODOCHODY,L-29 DELFIN
13989,BEECH,B23
13990,ROBINSON HELICOPTER,R22 BETA
13991,CESSNA,T210N
13992,PIPER,PA-28-140
13993,AERONCA,7AC
13994,CHAMPION,7FC
13995,CESSNA,A185F
13996,HEAD BALLOONS INC,AX8-88
13997,PIPER,PA18-160
13999,CESSNA,172N
14000,PIPER,PA-25-235
14001,CESSNA,P210R
14003,CESSNA,TU206G
14004,BELL,47G-4A
14005,WACO CLASSIC AIRCRAFT,YMF-F5C
14006,DEHAVILLAND,BEAVER DHC-2 MK.3
14007,PERTH AMBOY,BIRD CK
14009,PIPER,PA-36-300
14010,PIPER,J3C-65
14011,PIPER,PA-28-161
14012,EIRIAVION OY,PIK 20B
14014,AYRES CORPORATION,S2R-T34
14015,LINDSTRAND,LBL120A
14016,PIPER,PA-22-160
14017,CESSNA,180
14018,CHAMPION,7HC
14019,CESSNA,525A
14020,BEECH,A100
14021,CESSNA,172N
14022,SCHWEIZER,269C
14023,PIPER,PA-18A
14024,CESSNA,188
14025,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164B
14028,GRUMMAN AMERICAN AVN. CORP.,AA-5A
14029,CESSNA,172S
14030,CESSNA,172S
14031,PIPER,PA-18-150
14032,GRUMMAN,G-164A
14033,CESSNA,172S
14035,BOEING,B-17G
14038,CESSNA,182K
14039,MOONEY,M-20G
14043,DOUGLAS,DC-6B
14044,BELLANCA,17-31ATC
14045,MOONEY AIRCRAFT CORP.,M20K
14046,FLIGHTSTAR,FLIGHTSTAR II-SL
14048,BOEING,757-222
14050,SCHWEIZER AIRCRAFT CORP,G-164B
14051,CESSNA,180H
14052,Buckeye,Breeze LX
14053,CESSNA,152
14055,PIPER,PA-24-250
14056,CESSNA,172R
14057,BEECH,F33A
14059,BEECH,B200
14060,CESSNA,152
14061,CESSNA,177
14062,CESSNA,172P
14063,CESSNA,172
14065,AERO COMMANDER,S2R
14066,AIR TRACTOR INC,AT-502B
14067,CESSNA,182P
14070,BOMBARDIER INC,CL-600-2B19
14072,REMOS AIRCRAFT GMBH,REMOS G-3/600
14074,MOONEY,M20J
14075,PIPER,PA-32-260
14076,PIPER,PA-24-250
14077,SCHWEIZER,269C
14079,BUCKEYE,DREAM MACHINE
14080,BOEING,A75N1(PT17)
14082,Mooney,M20R
14087,CESSNA,177
14088,AERONCA,7AC
14090,CESSNA,A188B
14091,SCOTTISH AVIATION,SERIES 100 MDL 101
14092,PIPER,PA-46-310P
14093,CESSNA,340A
14094,HILLER,UH-12E
14095,CESSNA,172R
14096,SCHWEIZER,SGS 2-33A
14097,ECLIPSE AVIATION CORP,EA500
14098,BOEING,757-222
14099,AERO AT SP ZOO,AT-4 LSA
14100,CESSNA,150F
14101,BEECH,V35
14103,BELL,OH-58A
14106,GRUMMAN AIRCRAFT,G-164A
14107,CESSNA,R172K
14108,CESSNA,172
14109,ROCKWELL,112
14110,DEHAVILLAND,DHC-3T
14111,CESSNA,140
14112,BRANTLY,B-2B
14113,BELL,206B3
14114,BELL,OH-58C
14115,BEECH,C90
14116,ISRAEL AIRCRAFT INDUSTRIES,GULFSTREAM 200
14118,GRUMMAN,G164
14119,BOEING,A75N1 (PT17)
14120,CubCrafters Inc,CC11-160
14121,CESSNA,170A
14122,CESSNA,P206C
14123,CESSNA,180
14124,PIPER,PA-24-250
14125,CESSNA,140A
14128,BELL,206
14129,PIPER,J5A
14130,EMBRAER-EMPRESA BRASILEIRA DE,EMB-500
14131,PIPER,PA-22-160
14132,BEECH,58
14139,CESSNA,T207A
14144,LET,L 33 SOLO
14145,FLIGHTSTAR INC,FLIGHTSTAR II
14149,MORRISEY,2150A
14150,BEECH,A23
14153,PIPER,PA30
14154,CESSNA,T210M
14155,AERO COMMANDER,100-180
14156,PIPER,J3C
14158,DIAMOND AIRCRAFT IND INC,DA 20-C1
14159,CESSNA,150M
14161,PIPER,PA-22-160
14162,BEECH,F33A
14163,LAMMERS SJEF J,APACHE
14164,ROBINSON HELICOPTER,R22 BETA
14165,BOEING,B75N1
14167,PIPER,PA-18A
14169,BELLANCA,17-30A
14170,ROCKWELL INTERNATIONAL,S-2R
14172,BOEING,707-321B
14174,CESSNA,180J
14175,P&M AVIATION LTD,PEGASUS QUIK 912S
14177,BEECH,1900D
14178,CESSNA,152
14179,LUSCOMBE,8
14180,PIPER,PA-12
14181,CESSNA,A185F
14182,MAULE,M7
14187,MD HELICOPTER,369E
14188,BEECH,B200
14189,Leigh,S-6 COYOTE II
14190,Czech Aircraft Works SPOL SRO,Sportcruiser
14193,PIPER,PA-28R-201
14195,MD HELICOPTER,369D
14197,THRUSH AIRCRAFT INC,S2R-T660
14198,BELL,206-L4
14199,PIPER,PA-22-150
14200,MOONEY,M20J
14201,BEECH,G33
14202,BOEING,737-832
14203,BOEING,737-732
14205,BELL,OH-58C
14206,HAWKER BEECHCRAFT CORP,G36
14207,THRUSH AIRCRAFT INC,S2R-T34
14208,BEECH,F33A
14209,PIPER,PA-23-250
14211,BEECH,B24R
14212,FLIGHT DESIGN GMBH,CTLS
14215,MOONEY,M20R
14216,AIR TRACTOR INC,AT-301
14217,GULFSTREAM-SCHWEIZER A/C CORP,GULFSTREAM AM G-164B
14219,AIR TRACTOR INC,AT-802A
14220,PIPER,PA-24-250
14221,PIPER,PA-28-180
14223,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164A
14224,EVEKTOR-AEROTECHNIK AS,SPORTSTAR
14225,ROBINSON HELICOPTER COMPANY,R44 II
14226,CESSNA,172C
14227,PIPER,PA-28-180
14228,COSTRUZIONI AERONAUTICHE TECNA,P2002 SIERRA
14229,SCHLEICHER,ASW-27
14230,Unregistered,Quicksilver MXL II
14231,Piper,PA-18
14234,Czech Sport Aircraft AS,Piper Sport
14236,BOEING,737
14237,PIPER,PA-18-125
14241,CESSNA,172K
14242,GRUMMAN,G-164
14244,CESSNA,172R
14245,Commander Aircraft Company,114-B
14247,PIPER,PA46-500TP
14248,AEROSPATIALE,AS350B2
14249,CESSNA,172P
14250,CESSNA,172P
14251,LUSCOMBE,8E
14252,CESSNA,A185F
14253,ROBINSON HELICOPTER,R22 BETA
14254,Texas Helicopter Corporation,OH-13E/M74
14257,BEECH,E18S
14260,CHAMPION,7EC-703
14261,BEECH,A23
14263,ROBINSON HELICOPTER COMPANY,R44 II
14265,CESSNA,172M
14266,PIPER,PA-28-181
14267,CESSNA,182T
14268,CESSNA,185A
14269,GRUMMAN,G-164A
14270,HUGHES,269B
14272,CESSNA,172R
14273,CESSNA,A185F
14274,CESSNA,172
14275,PIPER,PA-18-150
14280,CESSNA,208B
14284,AYRES CORPORATION,S2R-R1340
14285,CESSNA,150H
14286,DOKTOR FIBERGLAS,H101 SALTO
14287,CESSNA,182A
14288,CESSNA,U206G
14290,CESSNA,182B
14293,SOLO WINGS,WINDLASS AQUILLA
14294,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164A
14295,PIPER,PA-28-180
14297,Cubcrafters,CC11-160
14298,PIPER,PA-22-150
14299,PIPER,PA-28-161
14300,CESSNA,210D
14301,PIPER,J3C-65
14302,BEECH,58
14303,CESSNA,172P
14305,BOMBARDIER,BD700 1A10
14307,BEECH,F33A
