,Make,Model
5364,ROBINSON HELICOPTER COMPANY,R44 II
5365,CESSNA,172
5366,CESSNA,172
5367,CESSNA,172
5368,CESSNA,120
5372,SCHWEIZER,269C 1
5373,AIR TRACTOR INC,AT 301
5374,ROBINSON,R22
5375,PIPER,PA 34-200T
5376,ARION AIRCRAFT LLC,LIGHTNING LS-1
5377,CESSNA,172
5378,CESSNA,172
5379,CESSNA,150
5380,CESSNA,414
5381,CESSNA,172K
5383,HOLLEY CAROL L,ANTARES
5385,BEECH,C 99
5387,BEECH,F33
5388,CESSNA,152
5389,CESSNA,177
5391,TRICK TRIKES,STORM
5393,CESSNA,172F
5394,CESSNA,U206G
5395,CESSNA,172
5396,BELL HELICOPTER TEXTRON,206
5397,S C AEROSTAR S .A.,FESTIVAL R40S
5398,KUBICEK,BB85
5399,RYAN,NAVION B
5400,BELL,47G 2
5402,PIPER,PA-31T
5403,BELL,206
5404,CESSNA,177
5405,CESSNA,172
5406,CANADIAN LIGHT ACFT SALES &SVC,BUSHCADDY EXPLORER
5407,HUGHES,269A
5408,AIR TRACTOR INC,AT 402
5409,CESSNA,172
5410,CIRRUS DESIGN CORP,SR
5411,PIPER,PA28R
5413,AIR TRACTOR,AT602
5414,MOONEY,M20J
5415,FLIGHT DESIGN GMBH,CTLS
5416,CESSNA,310B
5417,AIR TRACTOR INC,AT 301
5418,CESSNA,152
5420,CESSNA,150
5421,ALON,A2
5423,AERONCA,11AC
5425,EMBRAER,EMB-505
5426,CESSNA,188
5427,YAKOVLEV,YAK11
5428,TEXAS HELICOPTER CORP,OH 13H/M74A
5429,AMERICAN CHAMPION AIRCRAFT,8KCAB
5430,CIRRUS DESIGN CORP,SR22
5431,ALISPORT SRL,SILENT 2 TARGA
5433,BRISTELL,E-LSA
5434,BEECH,95 B55 (T42A)
5435,BEECH,65 A90
5437,AIR TRACTOR INC,AT 502B
5438,AIR TRACTOR INC,AT 502B
5439,ENGINEERING & RESEARCH,415
5441,CESSNA,310L
5444,PIPER,PA46
5445,CESSNA,182
5446,REPUBLIC,RC 3
5447,BELL,OH 58A
5448,STINSON,108
5450,CESSNA,208B
5452,PIPER,PA 30
5453,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164A
5455,DIAMOND AIRCRAFT IND GMBH,HK 36
5456,BEECH,B200
5457,AERONCA,7BCM
5458,CESSNA,U206
5459,TECNAM,P2008
5460,MEYERS,200
5461,CHANCE VOUGHT,F4U 5
5462,CESSNA,182J
5463,AEROPRO CZ,A220
5464,CESSNA,A185
5466,DIAMOND AIRCRAFT IND INC,DA40 F
5467,BEECH,19A
5468,CESSNA,172
5469,AERONCA,7AC
5472,AERONCA,11AC
5473,STINSON,108
5475,CESSNA,172
5476,BELL,UH 1H
5477,LUSCOMBE,8A
5478,BOEING,A75
5484,SCHWEIZER,269C
5485,PIPER,PA24
5486,PIPER,PA 28R-201
5488,ENGINEERING & RESEARCH,415 C
5489,AERONCA,7BCM
5491,CESSNA,182
5494,PIPER,PA 23-150
5495,PIPER AIRCRAFT INC,PA46R
5501,CESSNA,150
5502,CANADIAN CAR & FOUNDRY,HARVARD
5505,CESSNA,310
5506,TUMBLING GOOSE LLC,12S
5507,BELL HELICOPTER TEXTRON CANADA,407
5508,CESSNA,172
5509,BELL,OH 58
5510,HELIO,H 295
5511,BUCKEYE,DREAM MACHINE
5515,EVOLUTION TRIKES,REVO
5516,CESSNA,140
5517,CESSNA,172
5518,STINSON,108
5519,PIPER,PA32
5520,PIPER,PA 32R-300
5522,PIPER,PA 44
5523,CESSNA,182
5524,BOEING,757
5526,AIR TRACTOR INC,AT-602
5527,CESSNA,152
5528,GULFSTREAM AMERICAN CORP,AA 5
5529,CESSNA,180
5531,BELL,525
5532,CHAMPION,7EC
5534,AVIONS MUDRY ET CIE,CAP
5536,CESSNA,172
5537,CESSNA,172
5539,CESSNA,305
5540,BELLANCA,7ECA
5542,CESSNA,182
5543,Rainbow Sky Reach,Bushcat
5545,CESSNA,305
5546,PIPER,PA 25-235
5547,AERONCA,11AC
5548,CESSNA,206
5549,CESSNA,180
5551,CESSNA,172
5552,CESSNA,172
5553,CESSNA,182
5556,FLEET,FLEET 16B
5557,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164
5558,PIPER,PA 22-160
5559,WACO,YMF-F5C
5560,PIPER,PA-22-150
5561,POLLACK,QUICKSILVER SPRINT2S
5563,CESSNA,172RG
5564,HUGHES,269C
5565,CESSNA,172
5566,BEECH,23
5567,CESSNA,152G
5569,CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER
5571,CESSNA,172RG
5572,CESSNA,U206
5573,PIPER,PA28
5574,CESSNA,188
5575,PIPER,PA34
5577,PIPER,PA 28
5578,CESSNA,172
5579,CESSNA,150
5580,CESSNA,172
5581,PIPER,PA 28-161
5582,EVOLUTION AIRCRAFT INC,Revo
5583,CESSNA,A185F
5584,ROCKWELL INTERNATIONAL,S 2R
5585,CESSNA,170
5586,CESSNA,T206
5587,FACEBOOK UK LTD,AQUILA
5588,ROBINSON HELICOPTER,R44
5589,CESSNA,150L
5590,ENSTROM,280
5591,PIPER,PA18
5592,CESSNA,310R
5593,CESSNA,A185
5594,CESSNA,150
5595,RANS EMPLOYEE FLYING CLUB,RANS S 6S
5597,CESSNA,172N
5600,BEECH,E 90
5601,PIPER,J3F 65
5602,CESSNA,182
5603,CESSNA,A185F
5604,STINSON,L 5G
5605,CESSNA,172
5607,NORTH AMERICAN,SNJ
5608,CESSNA,152
5610,CESSNA,172
5613,PIPER,PA28
5614,UNIVERSAL STINSON,108
5615,PIPER,PA 24
5616,PIPER,PA28
5617,NORTH AMERICAN,NAVION
5618,ROBINSON HELICOPTER CO,R66
5619,THRUSH AIRCRAFT INC,S2R
5620,AMERICAN AVIATION,AA1
5621,CESSNA,182T
5625,PIPER,PA 12
5626,CESSNA,182P
5627,CESSNA,172
5628,HUGHES,269B
5629,CESSNA,152
5631,CESSNA,182Q
5632,SWEARINGEN,SA226
5633,BELLANCA,8KCAB
5634,ROCKWELL INTERNATIONAL,112A
5635,CESSNA,172P
5636,PIPER,PA 23-150
5638,PIPER,PA32
5639,PIPER,PA 28R-200
5640,PIPER,PA 24
5641,NORTH AMERICAN,AT-6D
5642,DE HAVILLAND,DHC3
5643,BEECH,C23
5645,BEECH,P35
5646,MOONEY,M20
5647,CIRRUS DESIGN CORP,SR22
5648,MD HELICOPTER,369E
5649,SCHLEICHER,ASW 28
5650,BEECH,F33
5651,AIRBUS,AS350
5652,CESSNA,R172
5653,SCHWEIZER AIRCRAFT CORP,G 164
5654,CESSNA,170
5655,MOONEY,M20
5656,PIPER,PA 28-236
5657,ROBINSON HELICOPTER,R44
5661,CESSNA,207
5662,CESSNA,152
5664,CHAMPION,7AC
5665,PIPER,PA31
5666,CESSNA,172M
5669,PIPER,PA-38-112
5671,AIR TRACTOR INC,AT 502
5672,BEECH,77
5673,FLIGHT DESIGN GMBH,CTSW HXB
5674,CESSNA,320E
5675,BELL,206
5676,AERO COMMANDER,100 180
5677,EUROCOPTER,EC120
5678,RYAN,NAVION
5680,CESSNA,150F
5681,ROCKWELL INTERNATIONAL,114
5682,AMERICAN,AA 1
5683,AIR TRACTOR INC,AT 802
5684,CONSOLIDATED AERONAUTICS INC.,LAKE LA 4
5685,PIPER,PA28RT
5686,PEZETEL,SZD 48-1JANTAR STD 2
5688,ROBINSON HELICOPTER COMPANY,R44 II
5689,MAULE,MX 7
5690,LUSCOMBE,8
5691,S.O.C.A.T.A.,RALLYE 150
5692,MOONEY,M20E
5693,AERONCA,7AC
5694,BELLANCA,17 30
5695,MAULE,M 6-235
5696,GRUMMAN AMERICAN AVN. CORP.,AA 1B
5697,PIPER,PA 28
5698,CESSNA,172
5699,CESSNA,120
5701,CESSNA,310
5703,WSK PZL MIELEC,M 18A
5705,PIPER,PA-28
5706,CESSNA,172S
5707,CIRRUS DESIGN CORP,SR22
5708,CESSNA,T210
5709,PIPER,PA 32
5710,PIPER,PA 28
5711,COSTRUZIONI AERONAUTICHE TECNA,P2002 SIERRA
5712,CESSNA,182
5713,BELL,47G 5
5714,PIPER,PA 28-140
5715,CIRRUS DESIGN CORP,SR20
5717,CESSNA,172
5719,CESSNA,172
5720,BELLANCA,17 30
5721,BELL,47G
5722,AERONCA,7BCM
5724,CESSNA,175
5726,ROBINSON HELICOPTER COMPANY,R44
5727,ROBINSON HELICOPTER,R22
5728,CESSNA,172
5730,ROBINSON HELICOPTER CO,R66
5732,ROCKWELL,S2R
5733,CESSNA,172
5737,AIR TRACTOR,AT-502
5738,AIR TRACTOR INC,AT 802
5739,CESSNA,208
5740,AMERICAN AVIATION,AA 1A
5741,CESSNA,172
5742,MAULE,M5
5743,BELLANCA,7GCBC
5745,BEECH,F33A
5748,AMERICAN CHAMPION AIRCRAFT,8KCAB
5749,MOONEY,M20C
5753,PIPER,PA 24
5754,BELL,407
5756,PIPER,PA46
5758,ROBINSON HELICOPTER,R44
5760,AIR TRACTOR INC,AT 502
5761,CESSNA,182
5762,AERONCA,7AC
5764,CESSNA,150
5765,CESSNA,172
5766,PIPER,PA24
5768,AMERICAN LEGEND AIRCRAFT CO,AL3
5770,CESSNA,170
5771,PIPER,PA 18-150
5774,BEECH,A23-24
5775,PIPER,PA 18
5776,RAINBOW SKY REACH (PTY) LTD,BUSHCAT
5777,CESSNA,177
5779,AMERICAN CHAMPION AIRCRAFT,7GCBC
5781,CESSNA,172N
5783,ROBINSON HELICOPTER,R44
5784,LUSCOMBE,8
5786,DIAMOND AIRCRAFT IND INC,DA 40
5787,CHAMPION,AERONCA 7AC
5788,PIPER,PA 18
5789,CESSNA,150
5790,REPUBLIC,P 47D
5792,CESSNA,402B
5793,CHAMPION,7ECA
5794,ROLLADEN-SCHNEIDER OHG,LS3
5795,CESSNA,A185
5796,CESSNA,182
5797,JIHLAVAN AIRPLANES SRO,KP 5 ASA
5798,PIPER,PA 18-150
5799,RANS,S 5
5800,BEECH,C23
5801,CESSNA,182
5802,CESSNA,U206G
5803,CESSNA,152
5804,CESSNA,501
5805,CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER
5806,BEECH,A36
5808,BEECH,C24R
5809,PIPER,PA18
5810,BELL,OH 58
5812,CESSNA,182
5814,PIPER,PA 18A
5815,BOEING,B75
5816,CESSNA,172
5817,AERONCA,11AC
5818,LUSCOMBE,8
5820,PIPER,PA 28-180
5821,BEECH,D35
5823,WACO CLASSIC AIRCRAFT CORP,YMF
5824,PIPER,PA 20
5825,CESSNA,182
5826,CESSNA,172
5827,NORTH AMERICAN,AT6
5828,CESSNA,P210N
5829,NORTH AMERICAN,AT 6
5833,CESSNA,R182
5834,CESSNA,210
5835,PIPER,PA28
5836,BEECH,A36TC
5838,CESSNA,R182
5839,SCHLEICHER,ASW 19
5840,CIRRUS DESIGN CORP,SR22
5841,Cessna,180
5842,CESSNA,T206H
5843,PIPER,PA 32R
5844,BEECH,C23
5845,CIRRUS DESIGN CORP,SR20
5846,CESSNA,172
5848,CESSNA,182P
5849,GLOBE,GC 1B
5851,AIR TRACTOR INC,AT 502
5852,CESSNA,180
5853,Seguin,Quickie
5854,CESSNA,172RG
5855,CESSNA,180
5856,PIPER,PA-28
5857,WACO,YKS 7
5858,PIPER,PA 22
5859,MOONEY,M20
5861,CAMERON BALLOONS US,Z-150
5862,BELL,47G 3B 1
5863,CESSNA,208B
5864,PIPER,PA28
5865,PIPER,PA 28R
5867,BOEING,B75N1
5868,PIPER,PA 12
5870,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164B
5871,BEECH,B24R
5872,BEECH,B100
5873,MOONEY AIRCRAFT CORP.,M20K
5874,AMERICAN CHAMPION AIRCRAFT,8GCBC
5876,PIPER,PA28
5877,AIR TRACTOR INC,AT 502
5879,BEECH,G35
5880,WACO CLASSIC AIRCRAFT,YMF
5881,BEECH,C23
5882,TAYLORCRAFT,BC12 D
5884,BELL,UH 1B
5885,ANTONOV,AN2
5886,CESSNA,TR182
5887,CESSNA,T206
5888,STINSON,108
5889,CESSNA,172
5891,AIRBUS,AS350
5892,PIPER,PA32RT
5893,AIRBORNE WINDSPORTS PTY LTD,EDGE X CLASSIC
5894,CESSNA,310F
5895,AIRBUS,AS350
5896,PIPER,PA 18-150
5897,ROCKWELL INTERNATIONAL,112TC
5898,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164B
5899,MCDONNELL DOUGLAS HELICOPTER,369E
5900,AIRBORNE,REDBACK
5901,ROBINSON HELICOPTER,R22
5903,BEECH,V35
5904,CESSNA,180
5905,CESSNA,172
5907,AVIAT AIRCRAFT INC,A-1C-180
5908,MOONEY,M20
5909,CESSNA,172
5910,CESSNA,150F
5911,EXTRA FLUGZEUGPRODUKTIONS-UND,EA 300/L
5912,CESSNA,140
5913,CESSNA,152
5915,AMERICAN CHAMPION AIRCRAFT,7AC
5916,UNIVERSAL STINSON,108
5917,CHAMPION,7BCM
5918,PIPER,PA 31P
5919,BELL,47G 5
5921,CESSNA,U206
5922,BUCKEYE INDUSTRIES INC,DREAM MACHINE 582
5923,CESSNA,152
5928,BOEING,A75N1 (PT17)
5929,CESSNA,172
5931,EUROCOPTER DEUTSCHLAND GMBH,MBB BK 117 C-2
5932,CESSNA,421
5934,LUSCOMBE,8
5935,GRUMMAN ACFT ENG COR-SCHWEIZER,G 164
5936,BEECH,76
5937,PIPER,PA32
5938,BELL HELICOPTER TEXTRON CANADA,206 L4
5939,DG FLUGZEUGBAU GMBH,DG 800B
5940,BURKHART GROB FLUGZEUGBAU,G103 TWIN ASTIR
5941,CESSNA,150
5942,MAULE,M 7-235B
5946,CESSNA,182L
5947,BUCKEYE INDUSTRIES,DREAM MACHINE
5949,PIPER,PA18S
5950,BELLANCA,7ECA
5951,CHAMPION,7AC
5953,CESSNA,172
5956,MOONEY AIRCRAFT CORP.,M20K
5957,MOONEY,M20C
5958,CESSNA Aircraft,162
5959,CESSNA,150J
5960,BELL,47G-2A
5961,CIRRUS,SR22
5962,CESSNA,172
5963,BELL,47D1
5966,CESSNA,172
5967,CHAMPION,7ECA
5968,VANS,RV12
5969,BEECH,65 A90 1
5970,CESSNA,182A
5971,PIPER,PA 18
5973,SILVAIRE,LUSCOMBE 8A
5975,PIPER,PA28
5976,CESSNA,172
5977,BELL,206 L4
5978,AIR TRACTOR INC,AT 502
5979,CESSNA,172
5982,COSTRUZIONI AERONAUTICHE TECNA,P2008
5983,BELL,206
5984,CESSNA,172
5985,EUROCOPTER FRANCE,AS350
5987,CESSNA,182
5988,CESSNA,175
5989,CZECH SPORT AIRCRAFT AS,PIPER SPORT
5990,CESSNA,421C
5992,CESSNA AIRCRAFT CO,E162
5993,MONOCOUPE,110
5996,PIPER,PA 28-140
5997,CIRRUS DESIGN CORP,SR20
5998,CESSNA,A185
5999,DEHAVILLAND,DHC 6 TWIN OTTER
6000,PIPER,PA22
6001,MOONEY,M20K
6004,ROCKWELL,690B
6005,HUGHES,369
6006,TL ULTRALIGHT SRO,TL-3000 SIRIUS
6008,BELLANCA,7GCBC
6009,CESSNA,206
6014,AGUSTAWESTLAND PHILADELPHIA,AW139
6015,CESSNA,172
6016,PIPER,PA 22-160
6017,BELL,206
6018,FLIGHT DESIGN,CTSW
6020,BEECH,A23
6021,CESSNA,172
6022,BELL,206
6024,BOEING,A75N1(PT17)
6025,CESSNA,172
6026,CHAMPION,7ECA
6029,NORTH AMERICAN,AT6
6031,CESSNA,175B
6036,CESSNA,180D
6037,BEECH,C23
6038,BEECH,F35
6039,WACO,CTO
6042,AIR TRACTOR,AT-402
6043,PIPER,PA28
6044,PIPER,PA 23-250
6045,ROBINSON,R44
6050,CESSNA,172L
6051,ROCKWELL INTERNATIONAL,114
6052,HUGHES,369
6053,BELL,206B
6054,PPHU EKOLOT,KR-030 TOPAZ
6055,ENSTROM,F280
6056,PIPER,PA24
6057,CESSNA,172N
6058,EUROCOPTER,AS 350 B2
6060,GRUMMAN AMERICAN AVN. CORP.,AA 1B
6061,PIPER,PA24
6062,CESSNA,180A
6065,PIPER,J5A
6068,BRANTLY,B 2B
6069,AMERICAN LEGEND AIRCRAFT CO,AL3
6071,NORTH AMERICAN,AT 6A
6072,ROBINSON,R44
6073,CESSNA,152
6074,CESSNA,172
6075,CIRRUS DESIGN CORP,SR22
6080,AIRBORNE,XT 912
6081,ROLLADEN-SCHNEIDER,LS8
6083,CESSNA,172
6084,PIPER,PA 46
6088,AERONCA,7AC
6090,CESSNA,210L
6092,BEECH,58
6094,CESSNA,340
6096,MOONEY,M20C
6097,GRUMMAN,AA5
6098,ROBINSON HELICOPTER COMPANY,R22
6100,GOODYEAR,FG1D
6101,NAKAJIMA,A6M2 MODEL 21
6102,RAYTHEON AIRCRAFT COMPANY,400A
6103,GRUMMAN ACFT ENG COR-SCHWEIZER,G-164
6104,CESSNA,180
6105,CESSNA,182A
6106,CESSNA,140
6107,CESSNA,180
6110,AMERICAN,AA 1
6111,PIPER,PA 28
6114,GRUMMAN,G164
6115,BEECH,D17
6116,REMOS ACFT GMBH FLUGZEUGBAU,REMOS GX
6119,REMOS AIRCRAFT GMBH,G 3/600
6121,MOONEY,M20
6123,CESSNA,172
6124,PIPER,PA 22-108
6125,NORTH WING,APACHE
6126,AEROPRO CZ,A220
6127,CIRRUS DESIGN CORP,SR22
6128,TAYLORCRAFT,BL
6130,BOEING,767 34AF
6134,PIPER,PA 22-150
6135,BOEING,A75N1(PT17)
6136,CESSNA,195
6137,BELL,47
6138,BEECH,99
6139,CESSNA,150G
6140,CURTISS WRIGHT,TRAVEL AIR 4000
6141,MAULE,M5
6142,CESSNA,152
6143,PIPER,PA46
6145,CIRRUS DESIGN CORP,SR22
6146,CZECH AIRCRAFT WORKS SPOL SRO,SPORTCRUISER
6147,CESSNA,182
6149,CIRRUS DESIGN CORP,SR20
6152,CESSNA,150L
6153,BEECH,95 C55
6154,BEECH,95 C55
6155,BEECH,V35
6159,STINSON,108 3
6160,CESSNA,152
6161,CESSNA,170
6163,CESSNA,152
6165,ROBINSON HELICOPTER CO,R66
6166,CIRRUS DESIGN CORP,SR22
6167,EMBRAER,EMB145
6169,CESSNA,LC41-550FG
6170,MOONEY,M20J
6172,CESSNA,172
6173,PIPER,PA28 151
6174,LIBERTY AEROSPACE INCORPORATED,LIBERTY XL
6175,PIPER,PA28
6176,BELL,206B
6178,BEECH,A36
6179,CESSNA,172
6181,BOEING,737
6182,Evolution,Revo
6183,CESSNA,P210N
6186,CESSNA,180
6187,AEROSTAR INTERNATIONAL,RX8
6188,BELL,47G 3B 1
6189,CESSNA,140
6190,MAULE,M 4
6191,MOONEY,M20J
6192,CONSOLIDATED VULTEE,BT 15
6194,PIPER,PA24
6195,AVIAT AIRCRAFT INC,S-2
6196,CESSNA,150
6197,SOCATA,TAMPICO TB 9
6198,CESSNA,152
6199,PIPER,PA28
6200,LOCKHEED,382G
6201,ENSTROM,TH-180
6202,CESSNA,182
6203,FLIGHT DESIGN GMBH,CTLS
6207,PIPER,PA34
6210,CESSNA,T206H
6211,BEECH,B36TC
6212,CESSNA,175
6215,BELL,206
6216,MCDONNELL DOUGLAS HELICOPTER,600N
6217,BELLANCA,8KCAB
6218,BEECH,M35
6219,NORTH AMERICAN,F51
6221,PIPER,PA31
6222,CESSNA,172S
6223,CESSNA,172S
6224,NORTH AMERICAN,P 51
6225,CESSNA,210
6227,PIPER,PA 28-161
6228,CESSNA,150
6229,CESSNA,182
6230,PIPER,PA 28-140
6232,COSTRUZIONI AERONAUTICHE TECNA,P92 ECHO SUPER
6233,PIPER,PA46
6234,PIPER,PA 28-161
6235,CESSNA,172
6236,AERONCA,O-58B
6237,HELICOPTERES GUIMBAL,CABRI
6238,CESSNA,172
6239,AMERICAN LEGEND AIRCRAFT CO,AL11C 100
6244,CESSNA,152
6245,EUROCOPTER FRANCE,EC 130 B4
6246,MAULE,M 7-235C
6247,PIPER,PA 24-260
6250,CESSNA,340A
6253,ROBINSON HELICOPTER,R22
6254,PILATUS,PC12
6255,CIRRUS DESIGN CORP,SR22T
6256,CESSNA,210
6259,ENSTROM,280
6261,PIPER,PA 18A 150
6262,MCDONNELL DOUGLAS CORPORATION,MD 88
6263,CESSNA,TR182
6264,ROBINSON HELICOPTER,R22
6267,PIPER,PA31
6271,PIPER,PA32RT
6272,PIPER,PA 46
6273,PIPER,PA 28RT-201
6274,SOCATA,TBM700
6275,CESSNA,525
6276,AVIAT AIRCRAFT INC,A-1C
6277,PIPER,PA 30
6278,CESSNA,210
6279,AIRBUS,EC130
6280,CESSNA,152
6281,BELLANCA,17-30A
6282,BEECH,A23
6286,CESSNA,CE-208
6288,CESSNA,180
6291,PIPER,PA 22-108
6292,BEECH,C35
6293,ENSTROM,F-28
6294,ENGINEERING & RESEARCH,ERCOUPE 415
6296,CESSNA,172
6297,MITSUBISHI,MU 300
6298,CESSNA,172N
6299,CESSNA,182
6302,BEECH,B200
6304,CIRRUS,SR22
6306,CESSNA,441
6312,PILATUS AIRCRAFT LTD,PC-12
6314,CESSNA,172R
6315,BEECH,35 C33
6316,AEROSTAR S A,YAK 52
6317,CESSNA,175
6318,BEECH,200
6322,CESSNA,170B
6323,CESSNA,172N
6327,CESSNA,172
6328,CESSNA,208B
6330,PIPER,PA18
6331,COSTRUZIONI AERONAUTICHE TECNA,P92 EAGLET
6333,PIPER,PA 28-161
6335,PIPER,28-140
6336,BEECH,200
6338,CESSNA,172
6339,PIPER,PA 46
6341,CESSNA,177
6342,CIRRUS DESIGN CORP,SR22
6343,AEROSTAR ACFT CORP OF TEXAS,M20F
6344,CESSNA,172
6346,WACO,YMF
6347,PIPER AIRCRAFT INC,PA-46
6351,BEECH,V35B
6352,HAWKER,400
6354,PIPER,PA32R
6355,BEECH,A36
6356,PIPER,PA 18A
6359,SCHWEIZER,269C
6361,PIPER,PA22
6362,BEECH,C24R
6363,PIPER,PA 32RT-300T
6364,STINSON,108
6367,CESSNA,182J
6368,GRUMMAN AMERICAN AVN. CORP.,AA-5A
6370,CIRRUS DESIGN CORP,SR20
6372,ROBINSON HELICOPTER COMPANY,R44 II
6373,AIRBUS Helicopters,AS350
6374,PIPER,PA-32
6375,BOEING,737 3H4
6376,MOONEY,M20E
6377,AERONCA,7BCM
6378,AVIAT,A1
6381,CESSNA,310
6382,GOLDEN CIRCLE AIR INC,T BIRD II
6383,PIPER,PA 31
6384,KELM DAVID,KITFOX 7
6387,DEHAVILLAND,TIGER MOTH DH 82A
6389,RAYTHEON AIRCRAFT COMPANY,A36
6390,BEECH,A36
6393,GLOBE,GC 1B
6394,BELL,407
6396,HAWKER BEECHCRAFT CORP,390
6397,PIPER,PA 28
6398,CESSNA,172
6401,PIPER,PA46 500TP
6402,ROBINSON HELICOPTER,R44
6403,CESSNA AIRCRAFT CO,LC41-550FG
6406,MCDONNELL DOUGLAS HELICOPTER,600N
6407,AERO VODOCHODY,L 39C
6408,AVIAT AIRCRAFT INC,A-1C
6414,CESSNA,182C
6415,CESSNA,140
6416,PIPER,PA 28-181
6417,BEECH,D35
6418,PIPER,PA-24
6420,CESSNA,172N
6421,PIPER,PA 46-350P
6422,PACIFIC AEROSPACE CORP LTD,750XL
6426,STINSON,108
6428,GRUMMAN AMERICAN AVN. CORP.,AA 5
6429,ROBINSON,R22
6430,PIPER,PA-32
6431,PIPISTREL,VIRUS
6432,CESSNA,T210N
6435,CESSNA,182
6437,MOONEY,M20J
6438,BOEING,A75N1(PT17)
6439,CESSNA,172
6440,ROBINSON HELICOPTER COMPANY,R44 II
6442,PIPER,PA 28-140
6443,HUGHES,369D
6444,CESSNA,172
6445,CESSNA,182D
6447,PIPER,PA28
6448,CIRRUS DESIGN CORP,SR22
6449,CESSNA,305A
6451,CESSNA,172
6452,BEECH,56
6453,BEECH,95 B55
6454,MOONEY,M20
6459,PHANTOM AERONAUTICS,PHANTOM X 1
6462,BEECH,A36TC
6463,CESSNA,172
6464,CESSNA,210
6465,CESSNA,T210N
6466,AIRBUS,EC135
6467,BEECH,F33A
6468,AIRBUS HELICOPTERS,AS350B3E
6469,AERONCA,7AC
6472,CESSNA,172R
6473,CHAMPION,7ECA
6474,PIPER,PA 31-350
6476,EUROCOPTER,EC120B
6477,Cessna,182G
6478,PIPER,J3C
6479,CESSNA,172
6482,CESSNA,177
6483,CONSOLIDATED AERONAUTICS INC.,LAKE LA-4
6484,CURTISS WRIGHT,Travel Air
6487,ROBINSON HELICOPTER,R22 BETA
6489,CESSNA,182Q
6490,CIRRUS DESIGN CORP,SR22
6491,ROBINSON HELICOPTER COMPANY,R44 II
6492,BEECH,A36
6494,CESSNA,208B
6497,BRITISH AEROSPACE,HS 125 700A
6498,CESSNA,182Q
6499,CESSNA,172M
6500,CESSNA,172G
6502,CESSNA,441
6503,CIRRUS DESIGN CORP,SR22
6504,U-FLY-IT,Aerolite 103
6505,CESSNA,172S
6506,CIRRUS DESIGN CORP,SR22T
6507,CESSNA,172
6512,CESSNA,525
6513,CESSNA,P210
6514,ZENITH,CH701
6515,EUROCOPTER DEUTSCHLAND GMBH,EC 135
6516,CESSNA,120
6517,CESSNA,172S
6518,SCHWEIZER,269C 1
6519,PIPER,PA 28-180
6520,FLIGHT DESIGN GMBH,CTLS
6522,CESSNA,180
6523,MD HELICOPTER,369D
6526,PIPER,PA 18-150
6527,CIRRUS DESIGN CORP,SR22T
6528,BELL,206B
6529,TAYLORCRAFT,BC12 65
6530,CESSNA,182
6531,AERONCA,7AC
6535,CESSNA,208B
6536,BELL,407
6537,PIPER,PA 28-140
6539,BELL,407
6540,HUGHES,369D
6542,CHAMPION,7ECA
6544,RAYTHEON AIRCRAFT COMPANY,A36
6547,AIRBUS,AS350
6549,CESSNA,150M
6550,PIPER,PA31
6553,AMERICAN EUROCOPTER LLC,AS350B3
6554,CESSNA,120
6555,LUSCOMBE,8A
6557,MAULE,M5
6558,CESSNA,A188A
6559,MOONEY,M20M
6560,MAULE,M5
6562,PIPER,PA-28-181
6563,PIPER,PA 28-235
6564,PIPER,PA 28R-200
6565,CESSNA,310C
6566,CESSNA,182J
6567,CESSNA,150
6569,PIPER,PA-32-260
6576,CESSNA,140
6578,CESSNA,180H
6580,BELL,47G
6582,BEECH,23
6583,CESSNA,172
6584,PIPER,PA 28R-180
6585,CESSNA,120
6586,CESSNA,R182
6590,PIPER,PA 18-150
6591,CIRRUS DESIGN CORP,SR22
6593,AVIAT,A-1C-200
6595,BELL,206L 3
6598,BUCKER JUNGMEISTER,BU 133
6599,CESSNA,421
6600,CESSNA,195A
6602,MAULE,M 7-260C
6605,CESSNA,421B
6606,CESSNA,T210K
6607,PIPER,PA 28-180
6608,BEECH,G35
6609,CESSNA,182R
6611,BEECH,F33
6613,PIPER,PA-32RT-300T
6614,DIAMOND,DA20-C1
6615,BEECHCRAFT,A36
6616,MAULE,M 7-235C
6617,PIPER,PA 46-350P
6618,CESSNA,172N
6620,CESSNA,310J
6621,BEECH,G35
6622,CESSNA,172S
6624,PIPER,PA28R
6625,COLUMBIA AIRCRAFT MFG,LC41 550FG
6627,QUEST,KODIAK 100
6628,CESSNA,182
6630,PIPER,PA 38-112
6631,CESSNA,177RG
6632,CESSNA,150F
6633,PIPER,PA28
6634,SILVAIRE,LUSCOMBE 8F
6635,BEECH,S35
6636,BEECH,A36
6637,ROBINSON HELICOPTER COMPANY,R44 II
6638,PIPER,PA
6641,BEECH,58
6644,BEECH,P35
6645,CESSNA,152
6647,ROBINSON HELICOPTER COMPANY,R44 II
6648,RAYTHEON AIRCRAFT COMPANY,A36
6649,ROBINSON HELICOPTER,R44
6650,CESSNA,150
6651,BELL,47G
6654,CESSNA,172B
6657,CESSNA,TU206G
6659,PIPER,PA32R
6662,PIPER,PA 28-140
